first,second
101,A
102,A
103,A
201,A
301,A
401,A
501,A
601,B
701,B
801,B
802,B
901,B
1101,C
1102,C
1103,C
1104,C
1105,C
1106,C
1107,C
1108,C
1109,C
1201,C
1202,C
1205,C
1301,C
1302,C
1303,C
1304,C
1305,C
1306,C
1401,C
1402,C
1501,C
1502,C
1601,C
1701,C
1801,C
1802,C
1803,C
1804,C
1901,C
1902,C
2001,C
2002,C
2003,C
2004,C
2005,C
2101,C
2102,C
2201,C
2202,C
2203,C
2204,C
2301,C
2302,C
2303,C
2304,C
2401,C
2403,C
2404,C
2405,C
2501,C
2502,C
2601,D
2605,D
2701,D
2801,D
2901,D
3001,E
3002,E
3101,E
3201,E
3301,F
3901,G
4401,H
4501,H
4601,I
4701,I
4801,I
4901,I
5101,I
5201,I
5401,J
5501,J
5601,J
5701,J
5801,J
6001,J
6201,K
6301,K
6401,K
6601,L
6701,T
6702,L
6901,M
7001,M
7210,N
7310,N
7501,O
7601,O
7701,O
8010,P
8110,P
8210,P
8401,Q
8601,Q
8901,R
9101,R
9201,R
9401,S
9402,S
9501,S
9502,S
