Regions,Sectors,PathTimes,KAP
GLD,A,0,2.526331634
GLD,B,0,19.39624663
GLD,C,0,47.9628024
GLD,D,0,33.40031232
GLD,E,0,35.45422488
GLD,F,0,2.688832461
GLD,G,0,1.810731763
GLD,H,0,2.908573959
GLD,I,0,27.95857906
GLD,J,0,2.243887198
GLD,K,0,2.291625986
GLD,L,0,114.3683652
GLD,M,0,13.32426438
GLD,N,0,2.940849065
GLD,O,0,2.576845394
GLD,P,0,2.259453324
GLD,Q,0,2.329355109
GLD,R,0,1
GLD,S,0,3.445468658
GLD,A,1,1.496348175
GLD,B,1,26.30629809
GLD,C,1,22.96861015
GLD,D,1,25.16516377
GLD,E,1,17.94635852
GLD,F,1,1.510460814
GLD,G,1,1
GLD,H,1,1.467931121
GLD,I,1,26.84842214
GLD,J,1,1.637716563
GLD,K,1,1.292903927
GLD,L,1,55.69643212
GLD,M,1,15.99310929
GLD,N,1,1.590678385
GLD,O,1,1.428725658
GLD,P,1,1.267860621
GLD,Q,1,1.310234466
GLD,R,1,1.044686945
GLD,S,1,1.688600959
GLD,A,2,1.559505659
GLD,B,2,35.75512535
GLD,C,2,39.64021099
GLD,D,2,40.80328602
GLD,E,2,54.79150037
GLD,F,2,1.572701614
GLD,G,2,1
GLD,H,2,1.516904091
GLD,I,2,38.79393275
GLD,J,2,1.634545878
GLD,K,2,1.359157157
GLD,L,2,57.00073814
GLD,M,2,21.31916653
GLD,N,2,1.62155163
GLD,O,2,1.560669199
GLD,P,2,1.357582043
GLD,Q,2,1.375903429
GLD,R,2,1.573736746
GLD,S,2,1.653288861
GLD,A,3,1.56999434
GLD,B,3,19.49390684
GLD,C,3,47.82607555
GLD,D,3,46.45446238
GLD,E,3,51.13086054
GLD,F,3,1.615564664
GLD,G,3,1
GLD,H,3,1.52188777
GLD,I,3,46.01908409
GLD,J,3,1.625392538
GLD,K,3,1.380438552
GLD,L,3,51.0591236
GLD,M,3,29.01303951
GLD,N,3,1.62602861
GLD,O,3,1.567479867
GLD,P,3,1.368905552
GLD,Q,3,1.395274008
GLD,R,3,1.575809208
GLD,S,3,1.624380847
GLD,A,4,-0.004367511
GLD,B,4,1
GLD,C,4,-7.977197303
GLD,D,4,-7.459827375
GLD,E,4,-4.66449047
GLD,F,4,-0.005167377
GLD,G,4,-0.005655643
GLD,H,4,-0.007587418
GLD,I,4,-8.205330872
GLD,J,4,-0.005502736
GLD,K,4,-0.005311087
GLD,L,4,-6.909720562
GLD,M,4,-3.401162419
GLD,N,4,-0.00561489
GLD,O,4,-0.007041696
GLD,P,4,-0.00483203
GLD,Q,4,-0.004813129
GLD,R,4,-0.004923608
GLD,S,4,-0.004369188
GLD,A,5,1.624398457
GLD,B,5,4.87099694
GLD,C,5,53.93958856
GLD,D,5,51.46311493
GLD,E,5,22.68598257
GLD,F,5,1.654876521
GLD,G,5,1
GLD,H,5,1.571003839
GLD,I,5,51.35731063
GLD,J,5,1.662258462
GLD,K,5,1.425844593
GLD,L,5,49.40133073
GLD,M,5,26.00838183
GLD,N,5,1.654837574
GLD,O,5,1.57471532
GLD,P,5,1.395030575
GLD,Q,5,1.429432464
GLD,R,5,1.619340418
GLD,S,5,1.684036628
GLD,A,6,1.609267132
GLD,B,6,6.98524616
GLD,C,6,52.09104093
GLD,D,6,51.24499773
GLD,E,6,34.39124958
GLD,F,6,1.647806141
GLD,G,6,1
GLD,H,6,1.575091727
GLD,I,6,51.94666769
GLD,J,6,1.657718932
GLD,K,6,1.442660805
GLD,L,6,50.47182002
GLD,M,6,35.52876331
GLD,N,6,1.654849082
GLD,O,6,1.58203846
GLD,P,6,1.393529307
GLD,Q,6,1.428427107
GLD,R,6,1.610573422
GLD,S,6,1.662665241
GLD,A,7,1.600920328
GLD,B,7,10.07000092
GLD,C,7,50.97348497
GLD,D,7,50.74478594
GLD,E,7,43.97338546
GLD,F,7,1.641903428
GLD,G,7,1
GLD,H,7,1.5997624
GLD,I,7,51.13124319
GLD,J,7,1.657594507
GLD,K,7,1.461277923
GLD,L,7,50.43927076
GLD,M,7,44.28480469
GLD,N,7,1.656108519
GLD,O,7,1.594804977
GLD,P,7,1.393751975
GLD,Q,7,1.428033897
GLD,R,7,1.606948121
GLD,S,7,1.650699976
GLD,A,8,1.597428168
GLD,B,8,14.19874224
GLD,C,8,50.51713786
GLD,D,8,50.42533162
GLD,E,8,49.23589966
GLD,F,8,1.63902198
GLD,G,8,1
GLD,H,8,1.656130911
GLD,I,8,50.46472214
GLD,J,8,1.659038567
GLD,K,8,1.480342619
GLD,L,8,50.35335518
GLD,M,8,48.96749884
GLD,N,8,1.658548753
GLD,O,8,1.617922202
GLD,P,8,1.396441243
GLD,Q,8,1.429905757
GLD,R,8,1.605827727
GLD,S,8,1.643559888
GLD,A,9,1.597695824
GLD,B,9,19.48752387
GLD,C,9,50.08135586
GLD,D,9,50.07003587
GLD,E,9,49.9724073
GLD,F,9,1.640416121
GLD,G,9,1
GLD,H,9,1.766523607
GLD,I,9,49.90003183
GLD,J,9,1.658891445
GLD,K,9,1.485902546
GLD,L,9,50.0575239
GLD,M,9,49.63476024
GLD,N,9,1.65860331
GLD,O,9,1.647113631
GLD,P,9,1.399627769
GLD,Q,9,1.43206823
GLD,R,9,1.606324516
GLD,S,9,1.6430556
GLD,A,10,1.600380343
GLD,B,10,26.0784905
GLD,C,10,49.56050283
GLD,D,10,49.53591161
GLD,E,10,49.65200482
GLD,F,10,1.645006184
GLD,G,10,1
GLD,H,10,1.965670344
GLD,I,10,49.32408212
GLD,J,10,1.658618425
GLD,K,10,1.490467965
GLD,L,10,49.51645157
GLD,M,10,49.29112265
GLD,N,10,1.658455325
GLD,O,10,1.697851449
GLD,P,10,1.405496273
GLD,Q,10,1.436124765
GLD,R,10,1.608169797
GLD,S,10,1.645486801
GLD,A,11,1.605193756
GLD,B,11,33.64351203
GLD,C,11,48.83001814
GLD,D,11,48.76184338
GLD,E,11,48.96260422
GLD,F,11,1.653000646
GLD,G,11,1
GLD,H,11,2.311416852
GLD,I,11,48.57394017
GLD,J,11,1.658621544
GLD,K,11,1.498295069
GLD,L,11,48.71495168
GLD,M,11,48.55527107
GLD,N,11,1.658795906
GLD,O,11,1.787121092
GLD,P,11,1.416087786
GLD,Q,11,1.443347798
GLD,R,11,1.611668982
GLD,S,11,1.650111613
GLD,A,12,1.612413412
GLD,B,12,41.12402504
GLD,C,12,47.78935455
GLD,D,12,47.70034921
GLD,E,12,47.90791271
GLD,F,12,1.665364263
GLD,G,12,1
GLD,H,12,2.870288052
GLD,I,12,47.56616734
GLD,J,12,1.659100288
GLD,K,12,1.512353039
GLD,L,12,47.65205921
GLD,M,12,47.4998919
GLD,N,12,1.660041412
GLD,O,12,1.937401897
GLD,P,12,1.433993847
GLD,Q,12,1.455333611
GLD,R,12,1.61698834
GLD,S,12,1.65714997
GLD,A,13,1.622177111
GLD,B,13,44.61035896
GLD,C,13,46.63389384
GLD,D,13,46.65207186
GLD,E,13,46.93721888
GLD,F,13,1.682970205
GLD,G,13,1
GLD,H,13,3.634419107
GLD,I,13,46.59952227
GLD,J,13,1.660303753
GLD,K,13,1.535880009
GLD,L,13,46.72297945
GLD,M,13,46.35011546
GLD,N,13,1.662853897
GLD,O,13,2.173127863
GLD,P,13,1.462103001
GLD,Q,13,1.473897505
GLD,R,13,1.624015902
GLD,S,13,1.66663282
GLD,A,14,1.627821619
GLD,B,14,45.59800056
GLD,C,14,46.34992578
GLD,D,14,46.3350091
GLD,E,14,46.61884465
GLD,F,14,1.696422929
GLD,G,14,1
GLD,H,14,4.527131177
GLD,I,14,46.34036906
GLD,J,14,1.661264895
GLD,K,14,1.5830125
GLD,L,14,46.36532716
GLD,M,14,46.00683408
GLD,N,14,1.668635563
GLD,O,14,2.555990016
GLD,P,14,1.505493001
GLD,Q,14,1.500896161
GLD,R,14,1.627094264
GLD,S,14,1.671075004
GLD,A,15,1.631974139
GLD,B,15,45.843461
GLD,C,15,46.31197676
GLD,D,15,46.26674935
GLD,E,15,46.5503855
GLD,F,15,1.712270014
GLD,G,15,1
GLD,H,15,5.717555142
GLD,I,15,46.30065182
GLD,J,15,1.661623264
GLD,K,15,1.664014253
GLD,L,15,46.2603057
GLD,M,15,45.9329704
GLD,N,15,1.677954354
GLD,O,15,3.172386321
GLD,P,15,1.575619905
GLD,Q,15,1.54380017
GLD,R,15,1.627988555
GLD,S,15,1.672847328
GLD,A,16,1.637294077
GLD,B,16,45.89138315
GLD,C,16,46.31016248
GLD,D,16,46.2513979
GLD,E,16,46.54603737
GLD,F,16,1.737046035
GLD,G,16,1
GLD,H,16,7.279790688
GLD,I,16,46.29547485
GLD,J,16,1.661804773
GLD,K,16,1.799885404
GLD,L,16,46.23018962
GLD,M,16,45.91743135
GLD,N,16,1.693445031
GLD,O,16,4.044873646
GLD,P,16,1.691495794
GLD,Q,16,1.614819257
GLD,R,16,1.628434231
GLD,S,16,1.674043856
GLD,A,17,1.645636934
GLD,B,17,45.91057807
GLD,C,17,46.29458594
GLD,D,17,46.23960669
GLD,E,17,46.53768525
GLD,F,17,1.778112002
GLD,G,17,1
GLD,H,17,9.351991526
GLD,I,17,46.28615766
GLD,J,17,1.66184578
GLD,K,17,2.025654819
GLD,L,17,46.21565669
GLD,M,17,45.9055076
GLD,N,17,1.719201736
GLD,O,17,5.124035356
GLD,P,17,1.882248072
GLD,Q,17,1.732574712
GLD,R,17,1.628627936
GLD,S,17,1.675407307
GLD,A,18,1.659295941
GLD,B,18,45.92845478
GLD,C,18,46.279195
GLD,D,18,46.2312212
GLD,E,18,46.51727431
GLD,F,18,1.846752163
GLD,G,18,1
GLD,H,18,12.10238949
GLD,I,18,46.27895151
GLD,J,18,1.66162147
GLD,K,18,2.401411021
GLD,L,18,46.20566936
GLD,M,18,45.89698737
GLD,N,18,1.761952347
GLD,O,18,6.591530886
GLD,P,18,2.193723643
GLD,Q,18,1.927002711
GLD,R,18,1.628117441
GLD,S,18,1.677299559
GLD,A,19,1.682570512
GLD,B,19,45.9301909
GLD,C,19,46.23682239
GLD,D,19,46.21503947
GLD,E,19,46.52584882
GLD,F,19,1.962540398
GLD,G,19,1
GLD,H,19,15.59625131
GLD,I,19,46.25990251
GLD,J,19,1.661453807
GLD,K,19,2.999109041
GLD,L,19,46.19314501
GLD,M,19,45.88954151
GLD,N,19,1.834057951
GLD,O,19,8.484192654
GLD,P,19,2.694381789
GLD,Q,19,2.247390237
GLD,R,19,1.627925447
GLD,S,19,1.680544188
GLD,A,20,1.722132406
GLD,B,20,45.93423918
GLD,C,20,46.17790204
GLD,D,20,46.18400195
GLD,E,20,46.50750619
GLD,F,20,2.157136812
GLD,G,20,1
GLD,H,20,19.97721869
GLD,I,20,46.225453
GLD,J,20,1.661234968
GLD,K,20,3.729617803
GLD,L,20,46.16706525
GLD,M,20,45.86475469
GLD,N,20,1.955063502
GLD,O,20,10.9700368
GLD,P,20,3.409958955
GLD,Q,20,2.764325297
GLD,R,20,1.627721098
GLD,S,20,1.686150589
GLD,A,21,1.789039511
GLD,B,21,45.9315157
GLD,C,21,46.09210342
GLD,D,21,46.13363689
GLD,E,21,46.47175405
GLD,F,21,2.482926608
GLD,G,21,1
GLD,H,21,25.28069189
GLD,I,21,46.17130905
GLD,J,21,1.660912371
GLD,K,21,4.658206753
GLD,L,21,46.12301024
GLD,M,21,45.82231577
GLD,N,21,2.157853426
GLD,O,21,14.18099052
GLD,P,21,4.259105414
GLD,Q,21,3.508606002
GLD,R,21,1.627446302
GLD,S,21,1.695668664
GLD,A,22,1.901980963
GLD,B,22,45.91466496
GLD,C,22,45.96811145
GLD,D,22,46.05372581
GLD,E,22,46.40822002
GLD,F,22,3.022317593
GLD,G,22,1
GLD,H,22,31.37894696
GLD,I,22,46.08708239
GLD,J,22,1.660425886
GLD,K,22,5.89988598
GLD,L,22,46.0508001
GLD,M,22,45.75261678
GLD,N,22,2.496089184
GLD,O,22,18.23356004
GLD,P,22,5.388616923
GLD,Q,22,4.394710025
GLD,R,22,1.627057594
GLD,S,22,1.711818538
GLD,A,23,2.092131034
GLD,B,23,45.87184887
GLD,C,23,45.79085226
GLD,D,23,45.92870119
GLD,E,23,46.30005228
GLD,F,23,3.862734002
GLD,G,23,1
GLD,H,23,37.78354321
GLD,I,23,45.95745215
GLD,J,23,1.659669297
GLD,K,23,7.540808502
GLD,L,23,45.93532049
GLD,M,23,45.6399584
GLD,N,23,3.05510172
GLD,O,23,23.1876126
GLD,P,23,6.886112723
GLD,Q,23,5.562870546
GLD,R,23,1.626472397
GLD,S,23,1.739164546
GLD,A,24,2.410216283
GLD,B,24,45.73788156
GLD,C,24,45.60051613
GLD,D,24,45.75963723
GLD,E,24,46.14746625
GLD,F,24,4.895631975
GLD,G,24,1
GLD,H,24,42.74199137
GLD,I,24,45.78463354
GLD,J,24,1.6585701
GLD,K,24,9.680213515
GLD,L,24,45.77289804
GLD,M,24,45.47854655
GLD,N,24,3.911836005
GLD,O,24,28.95079238
GLD,P,24,8.848695351
GLD,Q,24,7.104752346
GLD,R,24,1.625605504
GLD,S,24,1.785513954
GLD,A,25,2.934920642
GLD,B,25,45.54311269
GLD,C,25,45.40207133
GLD,D,25,45.56323219
GLD,E,25,45.95887612
GLD,F,25,6.211471144
GLD,G,25,1
GLD,H,25,44.94522578
GLD,I,25,45.5859323
GLD,J,25,1.656445687
GLD,K,25,12.43414977
GLD,L,25,45.57877026
GLD,M,25,45.2889528
GLD,N,25,4.896465072
GLD,O,25,35.16045839
GLD,P,25,11.38438342
GLD,Q,25,9.121522868
GLD,R,25,1.623671877
GLD,S,25,1.863758389
GLD,A,26,3.711296924
GLD,B,26,45.30447097
GLD,C,26,45.16718058
GLD,D,26,45.32662805
GLD,E,26,45.72381885
GLD,F,26,7.92525226
GLD,G,26,1
GLD,H,26,45.19754546
GLD,I,26,45.34920112
GLD,J,26,1.652331299
GLD,K,26,15.91558234
GLD,L,26,45.33961985
GLD,M,26,45.06163092
GLD,N,26,6.188637888
GLD,O,26,40.88340882
GLD,P,26,14.5990608
GLD,Q,26,11.71855154
GLD,R,26,1.619672912
GLD,S,26,1.995098935
GLD,A,27,4.620172135
GLD,B,27,44.96949253
GLD,C,27,44.83413674
GLD,D,27,44.98700103
GLD,E,27,45.38275478
GLD,F,27,10.13387659
GLD,G,27,1
GLD,H,27,44.93623766
GLD,I,27,45.00792825
GLD,J,27,1.645205855
GLD,K,27,20.16831048
GLD,L,27,44.99833349
GLD,M,27,44.72176165
GLD,N,27,7.849179843
GLD,O,27,43.80451402
GLD,P,27,18.54445142
GLD,Q,27,14.97252873
GLD,R,27,1.612785726
GLD,S,27,2.212998422
GLD,A,28,5.782838756
GLD,B,28,44.54018521
GLD,C,28,44.41003579
GLD,D,28,44.56164641
GLD,E,28,44.95627149
GLD,F,28,12.93337831
GLD,G,28,1
GLD,H,28,44.5303217
GLD,I,28,44.58369008
GLD,J,28,1.632701197
GLD,K,28,25.18467764
GLD,L,28,44.570293
GLD,M,28,44.30900471
GLD,N,28,9.989537365
GLD,O,28,44.21417654
GLD,P,28,23.23417604
GLD,Q,28,18.95305135
GLD,R,28,1.600950877
GLD,S,28,2.5725567
GLD,A,29,7.269481303
GLD,B,29,43.87766448
GLD,C,29,43.75206019
GLD,D,29,43.90262311
GLD,E,29,44.29707607
GLD,F,29,16.37108656
GLD,G,29,1
GLD,H,29,43.88158017
GLD,I,29,43.92555721
GLD,J,29,1.611992556
GLD,K,29,30.64662884
GLD,L,29,43.90926299
GLD,M,29,43.66438517
GLD,N,29,12.6638696
GLD,O,29,43.71758082
GLD,P,29,28.45471713
GLD,Q,29,23.58648839
GLD,R,29,1.581435633
GLD,S,29,3.147854516
GLD,A,30,9.115460344
GLD,B,30,42.82914624
GLD,C,30,42.7090107
GLD,D,30,42.85502361
GLD,E,30,43.24774239
GLD,F,30,20.36749289
GLD,G,30,1
GLD,H,30,42.84327089
GLD,I,30,42.87870858
GLD,J,30,1.578593132
GLD,K,30,35.82461768
GLD,L,30,42.85948457
GLD,M,30,42.63170127
GLD,N,30,15.86205753
GLD,O,30,42.70692252
GLD,P,30,33.60780846
GLD,Q,30,28.54775956
GLD,R,30,1.549979562
GLD,S,30,3.914510404
GLD,A,31,11.28393029
GLD,B,31,41.2206287
GLD,C,31,41.10683879
GLD,D,31,41.24170297
GLD,E,31,41.62806127
GLD,F,31,24.62547063
GLD,G,31,1
GLD,H,31,41.23393702
GLD,I,31,41.26454193
GLD,J,31,1.526281756
GLD,K,31,38.66832595
GLD,L,31,41.24356283
GLD,M,31,41.0285571
GLD,N,31,19.43276267
GLD,O,31,41.10100047
GLD,P,31,37.42146529
GLD,Q,31,33.08591449
GLD,R,31,1.500680599
GLD,S,31,4.725705831
GLD,A,32,13.63910403
GLD,B,32,38.88730843
GLD,C,32,38.78241577
GLD,D,32,38.90331362
GLD,E,32,39.27564059
GLD,F,32,28.50461864
GLD,G,32,1
GLD,H,32,38.89645464
GLD,I,32,38.92288613
GLD,J,32,1.447094649
GLD,K,32,38.18014942
GLD,L,32,38.9037616
GLD,M,32,38.70221487
GLD,N,32,23.00744741
GLD,O,32,38.76233921
GLD,P,32,37.90304638
GLD,Q,32,35.76273012
GLD,R,32,1.425935846
GLD,S,32,5.640849364
GLD,A,33,15.84352362
GLD,B,33,35.60043644
GLD,C,33,35.50705296
GLD,D,33,35.61712257
GLD,E,33,35.96287326
GLD,F,33,30.88064749
GLD,G,33,1
GLD,H,33,35.60814933
GLD,I,33,35.63290256
GLD,J,33,1.330087018
GLD,K,33,35.25902311
GLD,L,33,35.61515739
GLD,M,33,35.43932553
GLD,N,33,25.8727482
GLD,O,33,35.48141373
GLD,P,33,35.29541235
GLD,Q,33,34.85870344
GLD,R,33,1.314982714
GLD,S,33,6.550930499
GLD,A,34,17.65074287
GLD,B,34,31.51502169
GLD,C,34,31.43628397
GLD,D,34,31.5267864
GLD,E,34,31.82680069
GLD,F,34,30.15153775
GLD,G,34,1
GLD,H,34,31.52313064
GLD,I,34,31.54250698
GLD,J,34,1.180466632
GLD,K,34,31.2645167
GLD,L,34,31.52143557
GLD,M,34,31.37449629
GLD,N,34,27.26895271
GLD,O,34,31.41284584
GLD,P,34,31.34801927
GLD,Q,34,31.29643128
GLD,R,34,1.172119531
GLD,S,34,7.436243813
GLD,A,35,18.35775302
GLD,B,35,26.63240365
GLD,C,35,26.56555879
GLD,D,35,26.64132393
GLD,E,35,26.90382371
GLD,F,35,26.37201667
GLD,G,35,1.000816647
GLD,H,35,26.63585487
GLD,I,35,26.65423873
GLD,J,35,1
GLD,K,35,26.42586724
GLD,L,35,26.63615896
GLD,M,35,26.51666749
GLD,N,35,25.55086929
GLD,O,35,26.54338314
GLD,P,35,26.50312992
GLD,Q,35,26.51716221
GLD,R,35,1.000129638
GLD,S,35,8.030220082
GLD,A,36,21.90448417
GLD,B,36,26.58846742
GLD,C,36,26.52298012
GLD,D,36,26.59732195
GLD,E,36,26.86201891
GLD,F,36,26.50692714
GLD,G,36,1.241316608
GLD,H,36,26.59291269
GLD,I,36,26.61076978
GLD,J,36,1
GLD,K,36,26.38501483
GLD,L,36,26.59148877
GLD,M,36,26.47624589
GLD,N,36,26.49251283
GLD,O,36,26.50010114
GLD,P,36,26.46302191
GLD,Q,36,26.4885796
GLD,R,36,1.011309651
GLD,S,36,10.20982093
GLD,A,37,24.6977988
GLD,B,37,26.55206593
GLD,C,37,26.48681001
GLD,D,37,26.56076944
GLD,E,37,26.8258188
GLD,F,37,26.5036083
GLD,G,37,1.610301182
GLD,H,37,26.55702129
GLD,I,37,26.57485245
GLD,J,37,1
GLD,K,37,26.35012002
GLD,L,37,26.55438028
GLD,M,37,26.44205785
GLD,N,37,26.64066655
GLD,O,37,26.4649139
GLD,P,37,26.42936746
GLD,Q,37,26.4557068
GLD,R,37,1.029391491
GLD,S,37,12.88502511
GLD,A,38,26.02326392
GLD,B,38,26.51004568
GLD,C,38,26.44432983
GLD,D,38,26.5185272
GLD,E,38,26.7832138
GLD,F,38,26.46754318
GLD,G,38,2.157130962
GLD,H,38,26.51438957
GLD,I,38,26.53283725
GLD,J,38,1
GLD,K,38,26.3083549
GLD,L,38,26.51181503
GLD,M,38,26.40073769
GLD,N,38,26.62697375
GLD,O,38,26.42339783
GLD,P,38,26.38925334
GLD,Q,38,26.41410384
GLD,R,38,1.059360163
GLD,S,38,16.03389938
GLD,A,39,26.25935645
GLD,B,39,26.44729681
GLD,C,39,26.38477594
GLD,D,39,26.45799138
GLD,E,39,26.72544528
GLD,F,39,26.4039253
GLD,G,39,2.910491134
GLD,H,39,26.45077682
GLD,I,39,26.47263839
GLD,J,39,1
GLD,K,39,26.24442152
GLD,L,39,26.45145325
GLD,M,39,26.34166426
GLD,N,39,26.56924885
GLD,O,39,26.3606986
GLD,P,39,26.32405003
GLD,Q,39,26.34806351
GLD,R,39,1.108514704
GLD,S,39,19.50162434
GLD,A,40,26.22850741
GLD,B,40,26.36145212
GLD,C,40,26.30099144
GLD,D,40,26.3713631
GLD,E,40,26.63527356
GLD,F,40,26.31804511
GLD,G,40,3.871077881
GLD,H,40,26.36379573
GLD,I,40,26.38679496
GLD,J,40,1
GLD,K,40,26.15851166
GLD,L,40,26.36478981
GLD,M,40,26.25544628
GLD,N,40,26.4821379
GLD,O,40,26.27437146
GLD,P,40,26.23772512
GLD,Q,40,26.26154839
GLD,R,40,1.190132267
GLD,S,40,22.94383564
GLD,A,41,26.11187636
GLD,B,41,26.22969517
GLD,C,41,26.16723359
GLD,D,41,26.23831302
GLD,E,41,26.50234124
GLD,F,41,26.18583122
GLD,G,41,5.079203427
GLD,H,41,26.23163305
GLD,I,41,26.2529249
GLD,J,41,1
GLD,K,41,26.02971469
GLD,L,41,26.23359234
GLD,M,41,26.12346209
GLD,N,41,26.34614217
GLD,O,41,26.14222391
GLD,P,41,26.10535604
GLD,Q,41,26.12989679
GLD,R,41,1.325981184
GLD,S,41,25.16958349
GLD,A,42,25.90294519
GLD,B,42,26.02066358
GLD,C,42,25.96141683
GLD,D,42,26.03235513
GLD,E,42,26.29862249
GLD,F,42,25.9750562
GLD,G,42,6.526385066
GLD,H,42,26.02159844
GLD,I,42,26.04635616
GLD,J,42,1
GLD,K,42,25.82224774
GLD,L,42,26.02957322
GLD,M,42,25.91957469
GLD,N,42,26.13679421
GLD,O,42,25.9342924
GLD,P,42,25.89547407
GLD,Q,42,25.91883457
GLD,R,42,1.530356267
GLD,S,42,25.85945055
GLD,A,43,25.58427323
GLD,B,43,25.70302673
GLD,C,43,25.64917285
GLD,D,43,25.71678674
GLD,E,43,25.97901475
GLD,F,43,25.65623788
GLD,G,43,8.283152851
GLD,H,43,25.70198916
GLD,I,43,25.73141187
GLD,J,43,1
GLD,K,43,25.5066805
GLD,L,43,25.71535055
GLD,M,43,25.60591806
GLD,N,43,25.81765002
GLD,O,43,25.61858055
GLD,P,43,25.57836949
