Sectors,A,EPS_OUT
A,80.08151860037084,0.9489496482560956
B,63.94324863783561,0.6561006009730345
C,63.95971844225099,0.6561006009730345
D,51.16110029337206,0.8145084329731667
E,95.26494154106608,0.6561006009730345
F,71.81514370383944,0.9603883898796011
G,57.78087124301844,0.9517964972008638
H,61.94526614094743,0.9489496482560956
I,47.865984775206,0.7623765417380544
J,68.17171689091022,0.9690578418055305
K,58.250199641889516,0.9690578418055305
L,51.781673279797516,0.9603883898796011
M,82.12328827981621,0.9264792669710978
N,75.45659942174143,0.9603883898796011
O,60.1132944455985,0.9603883898796011
P,68.41486556517258,0.9575158423525435
Q,60.70005732659604,0.9603883898796011
R,74.52503436993406,0.9603883898796011
S,63.689194117092825,0.9546518866924663
