index0,index1,index2,RAW_INV_FLW
GLD,A,A,106.25220495015762
GLD,A,B,343.61526168523596
GLD,A,C,138.38232966036134
GLD,A,D,197.2581875988538
GLD,A,E,96.69885629402098
GLD,A,F,81.31140267579222
GLD,A,G,91.56362805310077
GLD,A,H,69.25773842592679
GLD,A,I,301.7373143469258
GLD,A,J,164.10101547338738
GLD,A,K,108.97478794114487
GLD,A,L,835.7160882494233
GLD,A,M,123.49320423179003
GLD,A,N,0.10000193885854396
GLD,A,O,233.54511528731416
GLD,A,P,109.71012837074979
GLD,A,Q,138.70442096846116
GLD,A,R,77.23968357273334
GLD,A,S,36.00289779275314
GLD,B,A,344.5838561444957
GLD,B,B,1133.6088680635075
GLD,B,C,451.38848433999
GLD,B,D,650.740749469617
GLD,B,E,312.82730728390976
GLD,B,F,261.67744722887545
GLD,B,G,295.7571527243297
GLD,B,H,222.15226618523428
GLD,B,I,994.4012434982047
GLD,B,J,536.8806709559711
GLD,B,K,353.63406871024665
GLD,B,L,2769.4146160362357
GLD,B,M,401.89513467500365
GLD,B,N,106.08825268952984
GLD,B,O,767.911640861511
GLD,B,P,356.07843409196136
GLD,B,Q,452.45915682544614
GLD,B,R,248.1425321095795
GLD,B,S,158.2762181236713
GLD,C,A,2355.3516559054374
GLD,C,B,9756.946138849484
GLD,C,C,3535.1408270248126
GLD,C,D,5117.739301097041
GLD,C,E,2015.213251723743
GLD,C,F,1031.4506669791313
GLD,C,G,1055.064747841352
GLD,C,H,202.8822924169421
GLD,C,I,11628.623405687786
GLD,C,J,4368.074061792992
GLD,C,K,1796.5413815702627
GLD,C,L,23512.227510973145
GLD,C,M,2361.1133015620408
GLD,C,N,0.09999999455415627
GLD,C,O,6629.515316052249
GLD,C,P,1427.0799678612514
GLD,C,Q,3188.385980041009
GLD,C,R,438.956892624951
GLD,C,S,0.09999999958766168
GLD,D,A,212.58210049592196
GLD,D,B,695.7864557373193
GLD,D,C,277.98999020315415
GLD,D,D,397.8446616997081
GLD,D,E,193.1341714394086
GLD,D,F,161.8096455727949
GLD,D,G,182.68029152009004
GLD,D,H,137.51364106829539
GLD,D,I,610.5347466094194
GLD,D,J,330.34599424280765
GLD,D,K,218.12451301574035
GLD,D,L,1697.5651753345455
GLD,D,M,247.6799220391983
GLD,D,N,46.87334801276085
GLD,D,O,471.71462982478135
GLD,D,P,219.62145918862137
GLD,D,Q,278.6456774153235
GLD,D,R,153.52077070088154
GLD,D,S,90.61283966110744
GLD,E,A,6041.588584632484
GLD,E,B,29750.492973377717
GLD,E,C,8715.665728751444
GLD,E,D,15236.41992604431
GLD,E,E,5095.826563943356
GLD,E,F,4061.160818697318
GLD,E,G,5567.223039354304
GLD,E,H,3542.2646639598565
GLD,E,I,21998.39919676604
GLD,E,J,11032.261362099951
GLD,E,K,6562.484265281358
GLD,E,L,81662.48551025082
GLD,E,M,7409.986113399844
GLD,E,N,1452.0370703429967
GLD,E,O,18109.6758272626
GLD,E,P,7445.303344820634
GLD,E,Q,9314.199024200656
GLD,E,R,4327.95604998634
GLD,E,S,2178.6090368317464
GLD,F,A,425.6472939341442
GLD,F,B,1599.3471146882432
GLD,F,C,570.0013940702485
GLD,F,D,751.0879866335059
GLD,F,E,314.56608219107125
GLD,F,F,207.25324543023945
GLD,F,G,213.66839493841374
GLD,F,H,107.69631686668193
GLD,F,I,1526.422304293068
GLD,F,J,685.9060987892847
GLD,F,K,379.03844874688605
GLD,F,L,3385.7890012214416
GLD,F,M,457.63831457830656
GLD,F,N,0.10000003955298599
GLD,F,O,1029.9450175511304
GLD,F,P,338.29511223861863
GLD,F,Q,642.2496539493366
GLD,F,R,155.59949077158842
GLD,F,S,15.079529038703523
GLD,G,A,86.56608711942002
GLD,G,B,311.0599317528947
GLD,G,C,85.63962457838593
GLD,G,D,144.13781565954807
