Sectors,A,EPS_OUT
A,56.53068106737696,0.8392762147898282
B,46.96655198614884,0.7624520210915113
C,42.11228865049283,0.7624520210915113
D,55.400140519988675,0.8
E,59.67996194106174,0.7624520210915113
F,56.559174617210886,0.8392762147898282
G,51.27758941976231,0.8392762147898282
H,56.6390237558085,0.8392762147898282
I,52.35032261117665,0.7810003949251302
J,56.42845114745853,0.8392762147898282
K,42.78926542573581,0.8392762147898282
L,43.29037541969607,0.8367659170387122
M,57.39801512419542,0.8367659170387122
N,58.83867504469693,0.8392762147898282
O,54.963979077870675,0.8392762147898282
P,57.19601216053904,0.8392762147898282
Q,53.868218848038076,0.8392762147898282
R,57.53690100465512,0.8392762147898282
S,56.520925976976,0.8392762147898282
