Regions,Sectors,INIT_KAP
GLD,A,0.6802412583816589
GLD,B,0.7942008968895281
GLD,C,3.5071036574554046
GLD,D,0.6826402889393747
GLD,E,0.22224893423215564
GLD,F,0.8691449548686894
GLD,G,1.2488188302622758
GLD,H,0.7066951485727969
GLD,I,0.9297468846685406
GLD,J,1.1174784571228837
GLD,K,3.7814681720622443
GLD,L,7.330401006415887
GLD,M,0.37546153802660814
GLD,N,0.9219244732410077
GLD,O,0.9488327735595671
GLD,P,0.5023462959732256
GLD,Q,0.9501044149341343
GLD,R,0.4563434076030846
GLD,S,0.9565911884598701
