Sectors,A,EPS_OUT
A,41.24670622013995,0.8048072
B,41.78031233093078,0.7952072000000001
C,42.61344251312856,0.7952072000000001
D,41.31781290429161,0.8048072
E,50.64926256134993,0.7952072000000001
F,41.33063148861929,0.8048072
G,41.32285490313523,0.8048072
H,41.28160031590056,0.8048072
I,41.5169039297162,0.8
J,41.32745471461686,0.8048072
K,41.732696148559505,0.8
L,41.91326711422676,0.8048072
M,41.62406421128099,0.7952072000000001
N,41.23684174213369,0.8048072
O,41.525917358869926,0.8
P,41.35192728122369,0.8
Q,41.468986860844815,0.8
R,41.10680457855048,0.8048072
S,41.170246963372186,0.8048072
