index0,index1,index2,RAW_DOM_CMED
GLD,A,A,16444.0
GLD,A,B,276.0
GLD,A,C,40852.0
GLD,A,D,29.0
GLD,A,E,798.0
GLD,A,F,594.0
GLD,A,G,2919.0
GLD,A,H,1906.0
GLD,A,I,99.0
GLD,A,J,34.0
GLD,A,K,6.0
GLD,A,L,1097.0
GLD,A,M,86.0
GLD,A,N,41.0
GLD,A,O,122.0
GLD,A,P,134.0
GLD,A,Q,360.0
GLD,A,R,366.0
GLD,A,S,258.0
GLD,B,A,321.0
GLD,B,B,18730.0
GLD,B,C,40474.0
GLD,B,D,4318.0
GLD,B,E,4995.0
GLD,B,F,1003.0
GLD,B,G,323.0
GLD,B,H,664.0
GLD,B,I,1122.0
GLD,B,J,254.0
GLD,B,K,249.0
GLD,B,L,659.0
GLD,B,M,1293.0
GLD,B,N,533.0
GLD,B,O,579.0
GLD,B,P,270.0
GLD,B,Q,426.0
GLD,B,R,89.0
GLD,B,S,216.0
GLD,C,A,5904.0
GLD,C,B,10592.0
GLD,C,C,42874.0
GLD,C,D,1898.0
GLD,C,E,57296.0
GLD,C,F,4307.0
GLD,C,G,3887.0
GLD,C,H,12505.0
GLD,C,I,10943.0
GLD,C,J,2491.0
GLD,C,K,973.0
GLD,C,L,1542.0
GLD,C,M,3770.0
GLD,C,N,1206.0
GLD,C,O,3518.0
GLD,C,P,2260.0
GLD,C,Q,5867.0
GLD,C,R,1787.0
GLD,C,S,3599.0
GLD,D,A,2422.0
GLD,D,B,5638.0
GLD,D,C,10300.0
GLD,D,D,30734.0
GLD,D,E,4185.0
GLD,D,F,1573.0
GLD,D,G,2155.0
GLD,D,H,2506.0
GLD,D,I,2109.0
GLD,D,J,2395.0
GLD,D,K,880.0
GLD,D,L,3885.0
GLD,D,M,4250.0
GLD,D,N,1678.0
GLD,D,O,4288.0
GLD,D,P,1259.0
GLD,D,Q,2726.0
GLD,D,R,641.0
GLD,D,S,507.0
GLD,E,A,3231.0
GLD,E,B,12852.0
GLD,E,C,3232.0
GLD,E,D,4668.0
GLD,E,E,144378.0
GLD,E,F,3450.0
GLD,E,G,1578.0
GLD,E,H,1713.0
GLD,E,I,6651.0
GLD,E,J,1774.0
GLD,E,K,1524.0
GLD,E,L,18880.0
GLD,E,M,6330.0
GLD,E,N,1428.0
GLD,E,O,11906.0
GLD,E,P,1008.0
GLD,E,Q,1533.0
GLD,E,R,373.0
GLD,E,S,944.0
GLD,F,A,3523.0
GLD,F,B,4447.0
GLD,F,C,11218.0
GLD,F,D,999.0
GLD,F,E,11558.0
GLD,F,F,3720.0
GLD,F,G,2884.0
GLD,F,H,2586.0
GLD,F,I,3501.0
GLD,F,J,2209.0
GLD,F,K,1991.0
GLD,F,L,1065.0
GLD,F,M,3103.0
GLD,F,N,1288.0
GLD,F,O,1932.0
GLD,F,P,2130.0
GLD,F,Q,4485.0
GLD,F,R,1073.0
GLD,F,S,2960.0
GLD,G,A,821.0
GLD,G,B,1494.0
GLD,G,C,3666.0
GLD,G,D,473.0
GLD,G,E,4554.0
GLD,G,F,1739.0
GLD,G,G,2178.0
GLD,G,H,1164.0
