Regions,Sectors,PathTimes,EULER_INTEGRAND
GLD,A,0,0.0010745581128189068
GLD,B,0,0.008250062618415327
GLD,C,0,0.02040065434374209
GLD,D,0,0.01420659745630851
GLD,E,0,0.015080215304302862
GLD,F,0,0.001143676742653666
GLD,G,0,0.0007701825364446119
GLD,H,0,0.001237142306222949
GLD,I,0,0.011891992937590516
GLD,J,0,0.0009544222776242297
GLD,K,0,0.0009747276491722989
GLD,L,0,0.048645812351845515
GLD,M,0,0.00566738593943105
GLD,N,0,0.001250870304557874
GLD,O,0,0.0010960437996150765
GLD,P,0,0.0009610432243709644
GLD,Q,0,0.0009907754769505834
GLD,R,0,0.00042534325191362376
GLD,S,0,0.0014655068435682874
GLD,A,1,0.001278581155385873
GLD,B,1,0.02247788153604115
GLD,C,1,0.019625935060891886
GLD,D,1,0.021502819141135283
GLD,E,1,0.01533458335035697
GLD,F,1,0.0012906399492548576
GLD,G,1,0.0008544676813624075
GLD,H,1,0.001254299701390345
GLD,I,1,0.022941109013922184
GLD,J,1,0.0013993758742436384
GLD,K,1,0.0011047446203737528
GLD,L,1,0.04759080121510072
GLD,M,1,0.013665595015483704
GLD,N,1,0.001359183271072647
GLD,O,1,0.001220799900584272
GLD,P,1,0.001083345925444494
GLD,Q,1,0.001119553005873944
GLD,R,1,0.0008926512312471835
GLD,S,1,0.0014428549459334526
GLD,A,2,0.00102131041492994
GLD,B,2,0.02341580595424958
GLD,C,2,0.025960124024549443
GLD,D,2,0.026721814520036878
GLD,E,2,0.03588260782205277
GLD,F,2,0.0010299523621860479
GLD,G,2,0.0006548936893920004
GLD,H,2,0.000993410916576791
GLD,I,2,0.025405901744964675
GLD,J,2,0.0010704537806245742
GLD,K,2,0.0008901034452716684
GLD,L,2,0.03732942369765048
GLD,M,2,0.013961787624981216
GLD,N,2,0.001061943929832008
GLD,O,2,0.0010220724097242705
GLD,P,2,0.0008890719126312565
GLD,Q,2,0.0009010704731251145
GLD,R,2,0.0010306302634111508
GLD,S,2,0.0010827284419617736
GLD,A,3,0.000774930414194767
GLD,B,3,0.009621959085362538
GLD,C,3,0.02360637844165133
GLD,D,3,0.022929366602044327
GLD,E,3,0.025237580757443097
GLD,F,3,0.0007974233810187602
GLD,G,3,0.0004935880306410733
GLD,H,3,0.0007511855870085407
GLD,I,3,0.022714469088731384
GLD,J,3,0.0008022743017297141
GLD,K,3,0.0006813679465279526
GLD,L,3,0.025202172261599202
GLD,M,3,0.014320489036883773
GLD,N,3,0.0008025882593378659
GLD,O,3,0.0007736893006462784
GLD,P,3,0.0006756753957688445
GLD,Q,3,0.0006886905498150748
GLD,R,3,0.0007778005636429348
GLD,S,3,0.0008017749435028801
GLD,A,4,0.0003260488427669693
GLD,B,4,-0.07465324485409755
GLD,C,4,0.5955236635369283
GLD,D,4,0.5569003195951262
GLD,E,4,0.34821934920633024
GLD,F,4,0.0003857614702560937
GLD,G,4,0.0004222120686532825
GLD,H,4,0.0005664254037950405
GLD,I,4,0.6125545746651636
GLD,J,4,0.0004107971081556408
GLD,K,4,0.00039648984473277573
GLD,L,4,0.5158330610034665
GLD,M,4,0.2539078108222133
GLD,N,4,0.000419169780453461
GLD,O,4,0.0005256854781227544
GLD,P,4,0.00036072675101139057
GLD,Q,4,0.0003593156794126668
GLD,R,4,0.0003675633368902443
GLD,S,4,0.0003261740305204193
GLD,A,5,0.0004130138252522465
GLD,B,5,0.0012384825107615285
GLD,C,5,0.013714489637764572
GLD,D,5,0.013084830182981923
GLD,E,5,0.0057680579543939485
GLD,F,5,0.0004207630705303794
GLD,G,5,0.0002542564747877486
GLD,H,5,0.000399437897962056
GLD,I,5,0.013057928755900648
GLD,J,5,0.0004226399768296128
GLD,K,5,0.000362530219755567
GLD,L,5,0.012560608200839691
GLD,M,5,0.006612799479283875
GLD,N,5,0.0004207531678040286
GLD,O,5,0.0004003815660815414
GLD,P,5,0.00035469555614737417
GLD,Q,5,0.00036344245924565784
GLD,R,5,0.0004117277860445473
GLD,S,5,0.0004281772163408062
GLD,A,6,0.0007573720605799322
GLD,B,6,0.0032874779914355535
GLD,C,6,0.02451569302998279
GLD,D,6,0.024117518313934924
GLD,E,6,0.01618561085769284
GLD,F,6,0.0007755097383956198
GLD,G,6,0.00047063165935129806
GLD,H,6,0.0007412880330661366
GLD,I,6,0.02444774641044277
GLD,J,6,0.0007801750117833208
GLD,K,6,0.0006789618486399262
GLD,L,6,0.0237536364053997
GLD,M,6,0.016720960833095037
GLD,N,6,0.0007788243692972419
GLD,O,6,0.0007445573856402518
GLD,P,6,0.0006558390102640252
GLD,Q,6,0.0006722630193975414
GLD,R,6,0.0007579868419167627
GLD,S,6,0.0007825029014044364
GLD,A,7,0.0008041919867608579
GLD,B,7,0.005058474118531787
GLD,C,7,0.025605564140233746
GLD,D,7,0.025490681515911023
GLD,E,7,0.022089196813916127
GLD,F,7,0.000824779070112815
GLD,G,7,0.0005023310482474602
GLD,H,7,0.0008036103235016758
GLD,I,7,0.025684810991267095
GLD,J,7,0.0008326611862812676
GLD,K,7,0.0007340452706021323
GLD,L,7,0.02533721175280295
GLD,M,7,0.022245632362899795
GLD,N,7,0.0008319147282399798
GLD,O,7,0.0008011200559322033
GLD,P,7,0.0007001248905121944
GLD,Q,7,0.0007173457646329569
GLD,R,7,0.0008072199338752607
GLD,S,7,0.0008291978490860497
GLD,A,8,0.0007981808334527917
GLD,B,8,0.007094631321286786
GLD,C,8,0.025241705391961446
GLD,D,8,0.025195832914598516
GLD,E,8,0.024601513989492108
GLD,F,8,0.0008189638544724392
GLD,G,8,0.0004996661817911074
GLD,H,8,0.0008275126090033509
GLD,I,8,0.025215515024411862
GLD,J,8,0.0008289654659919847
GLD,K,8,0.0007396771439856671
GLD,L,8,0.025159868724037478
GLD,M,8,0.024467403175219504
GLD,N,8,0.000828720722747461
GLD,O,8,0.0008084210089028864
GLD,P,8,0.0006977544637422581
GLD,Q,8,0.0007144755500253833
GLD,R,8,0.0008023778090516585
GLD,S,8,0.0008212312938175421
GLD,A,9,0.0007756067523779829
GLD,B,9,0.009460283283556411
GLD,C,9,0.02431216078776463
GLD,D,9,0.02430666546218342
GLD,E,9,0.024259271345958497
GLD,F,9,0.0007963454625191742
GLD,G,9,0.0004854533262763567
GLD,H,9,0.0008575647611165141
GLD,I,9,0.024224136434157918
GLD,J,9,0.0008053143697548989
GLD,K,9,0.0007213363336911623
GLD,L,9,0.024300591480163794
GLD,M,9,0.02409535945824682
GLD,N,9,0.0008051744938336715
GLD,O,9,0.0007995967910184776
GLD,P,9,0.0006794539559178299
GLD,Q,9,0.0006952022857742971
GLD,R,9,0.0007797955795108744
GLD,S,9,0.000797626806253448
GLD,A,10,0.0007341757700324152
GLD,B,10,0.011963528500619438
GLD,C,10,0.022735920551370446
GLD,D,10,0.022724639308582456
GLD,E,10,0.0227778971604385
GLD,F,10,0.0007546479104203099
GLD,G,10,0.00045875080458891487
GLD,H,10,0.0009017528518465505
GLD,I,10,0.022627462357400773
GLD,J,10,0.0007608925370775203
GLD,K,10,0.0006837533783187754
GLD,L,10,0.022715711997658483
GLD,M,10,0.022612342175713923
GLD,N,10,0.0007608177147094174
GLD,O,10,0.000778890718260834
GLD,P,10,0.0006447725459072253
GLD,Q,10,0.000658823391266071
GLD,R,10,0.0007377491880658836
GLD,S,10,0.0007548683941097168
