Divisions,AgrForestFish,Mining,Manufacturing,Utilities,Construction,Wholesale,Retail,AccomFoodServ,Transport&Ware,Communications,Finance&Insur,RealEstate,BusinessServ,Admin,PublicAdminSafe,Education,Health&Social,Arts&Rec,OtherServices,Dwellings
AgrForestFish,0.00,307.19,0.00,249.84,0.00,0.00,0.00,0.00,1070.79,0.00,0.00,0.00,0.00,0.00,898.76,0.00,0.00,0.00,0.00,2297.24
Mining,0.00,123.39,0.00,0.00,0.00,0.00,0.00,0.00,735.52,0.00,0.00,0.00,0.00,0.00,483.92,0.00,0.00,0.00,0.00,3144.40
Manufacturing,3459.52,11961.77,5909.77,6109.18,2207.09,670.34,629.52,0.00,10636.48,4959.39,928.84,5009.11,3466.30,0.00,5111.37,2300.63,2894.91,0.00,0.00,19752.94
Utilities,0.00,600.15,0.00,455.40,0.00,0.00,0.00,0.00,1302.58,147.52,0.00,0.00,0.00,0.00,1098.41,0.00,0.00,0.00,0.00,3006.55
Construction,7803.18,29886.74,10647.31,15313.27,7262.85,6482.63,8212.80,5205.25,16641.49,12110.95,10765.98,11270.43,9262.80,1953.72,15967.36,9034.20,11629.55,6482.03,3034.23,50537.62
Wholesale,0.00,1944.59,0.00,250.97,0.00,0.00,0.00,0.00,1801.29,8.21,0.00,0.00,0.00,0.00,914.30,0.00,0.00,0.00,0.00,7611.25
Retail,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,653.73,0.00,0.00,0.00,0.00,0.00,411.06,0.00,0.00,0.00,0.00,2189.65
AccomFoodServ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.47
Transport&Ware,0.00,526.08,0.00,354.55,0.00,0.00,0.00,0.00,1175.59,45.43,0.00,0.00,0.00,0.00,964.24,0.00,0.00,0.00,0.00,2326.33
Communications,0.00,215.60,0.00,0.00,0.00,0.00,0.00,0.00,1683.31,0.00,0.00,0.00,0.00,0.00,646.22,0.00,0.00,0.00,0.00,2907.89
Finance&Insur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,700.74,0.00,0.00,0.00,0.00,0.00,555.29,0.00,0.00,0.00,0.00,1532.09
RealEstate,0.00,1405.30,0.00,1091.96,0.00,0.00,0.00,0.00,1989.74,764.31,0.00,0.00,3.71,0.00,1723.60,0.00,517.44,0.00,0.00,4614.75
BusinessServ,0.00,3390.17,0.00,2433.42,218.56,0.00,0.00,0.00,4009.48,2759.16,16.51,3352.82,1370.85,0.00,3055.84,497.66,1568.25,0.00,0.00,7769.31
Admin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.63
PublicAdminSafe,0.00,14.23,0.00,0.00,0.00,0.00,0.00,0.00,865.26,0.00,0.00,0.00,0.00,0.00,353.68,0.00,0.00,0.00,0.00,1563.63
Education,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208.61,0.00,0.00,0.00,0.00,0.00,53.87,0.00,0.00,0.00,0.00,1178.07
Health&Social,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,528.03
Arts&Rec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,412.40
OtherServices,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.59
Dwellings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
