Divisions,AgrForestFish,Mining,Manufacturing,Utilities,Construction,Wholesale,Retail,AccomFoodServ,Transport&Ware,Communications,Finance&Insur,RealEstate,BusinessServ,Admin,PublicAdminSafe,Education,Health&Social,Arts&Rec,OtherServices,Dwellings
AgrForestFish,0.00,388.06,0.00,250.01,0.00,0.00,0.00,0.00,1080.59,0.00,0.00,0.00,0.00,0.00,876.97,0.00,0.00,0.00,0.00,2228.19
Mining,0.00,350.81,0.00,0.00,0.00,0.00,0.00,0.00,770.69,0.00,0.00,0.00,0.00,0.00,423.86,0.00,0.00,0.00,0.00,2941.87
Manufacturing,2017.05,11504.97,3790.80,6119.79,2008.93,837.32,1409.48,0.00,8918.48,5063.61,2185.30,4802.18,3332.27,0.00,6141.37,2521.07,3785.94,632.21,0.00,20936.39
Utilities,0.00,763.16,0.00,467.79,0.00,0.00,0.00,0.00,1345.58,43.40,0.00,0.00,0.00,0.00,1084.12,0.00,0.00,0.00,0.00,2906.56
Construction,9245.64,28140.33,12766.27,14854.38,7432.94,6315.65,7432.84,5205.25,18860.86,12665.11,9217.48,13009.74,9548.60,1953.72,14790.64,8755.92,10596.17,5849.82,3034.23,49828.78
Wholesale,0.00,2320.44,0.00,299.88,0.00,0.00,0.00,0.00,1743.07,0.00,0.00,0.00,0.00,0.00,824.70,0.00,0.00,0.00,0.00,7342.51
Retail,0.00,57.42,0.00,0.00,0.00,0.00,0.00,0.00,643.85,0.00,0.00,0.00,0.00,0.00,373.29,0.00,0.00,0.00,0.00,2179.88
AccomFoodServ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.47
Transport&Ware,0.00,523.64,0.00,366.78,0.00,0.00,0.00,0.00,1196.17,0.00,0.00,0.00,0.00,0.00,986.16,0.00,0.00,0.00,0.00,2319.47
Communications,0.00,556.85,0.00,21.47,0.00,0.00,0.00,0.00,1150.73,0.00,0.00,0.00,0.00,0.00,648.32,0.00,0.00,0.00,0.00,3075.66
Finance&Insur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,712.77,0.00,0.00,0.00,0.00,0.00,556.99,0.00,0.00,0.00,0.00,1518.35
RealEstate,0.00,1712.01,0.00,1113.20,0.00,0.00,0.00,0.00,2082.05,653.19,0.00,0.00,0.00,0.00,1709.04,0.00,400.99,0.00,0.00,4440.33
BusinessServ,0.00,4057.52,0.00,2765.29,246.64,0.00,0.00,0.00,4039.28,2369.67,308.54,1820.45,1222.79,0.00,3321.15,555.50,1827.04,0.00,0.00,7908.17
Admin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.63
PublicAdminSafe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,701.16,0.00,0.00,0.00,0.00,0.00,444.51,0.00,0.00,0.00,0.00,1651.12
Education,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.31,0.00,0.00,0.00,0.00,0.00,56.81,0.00,0.00,0.00,0.00,1154.44
Health&Social,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,528.03
Arts&Rec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,412.40
OtherServices,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.59
Dwellings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
