Divisions,AgrForestFish,Mining,Manufacturing,Utilities,Construction,Wholesale,Retail,AccomFoodServ,Transport&Ware,Communications,Finance&Insur,RealEstate,BusinessServ,Admin,PublicAdminSafe,Education,Health&Social,Arts&Rec,OtherServices,Dwellings,
AgrForestFish,165.4362445,265.3758481,279.4087773,1.00E-04,0.000101269,19.62477153,1.00E-04,0.000100009,300.7239389,122.5477578,1.00E-04,298.5010915,92.40628789,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,949.9181923,2493.944011
Mining,0.000100101,520.4057249,211.3339622,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,278.545294,0.000100007,1.00E-04,161.4190487,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1828.03784,2999.74337
Manufacturing,5033.115334,7751.546988,5739.50306,3224.828359,3765.565887,2742.172897,305.2189513,3086.496244,5840.736024,2986.798576,1.00E-04,3786.5806,3067.868413,65.82208854,1672.411631,2215.856578,318.4177229,1.00E-04,1.00E-04,16490.10556,68093.04522
Utilities,311.6857024,585.450986,468.997125,14.215512,94.79747152,112.7693589,1.00E-04,29.93811531,508.8475913,263.8954204,1.00E-04,460.220665,204.8070323,1.00E-04,1.00E-04,0.000100007,1.00E-04,1.00E-04,1.00E-04,1521.620905,4577.246685
Construction,4174.558185,24061.52726,7866.204325,10375.78638,1.00E-04,445.9823033,5675.167837,106.835743,10075.48613,5765.799673,8339.705318,5329.655448,2074.447675,2207.792586,11231.57695,4105.429639,8015.167543,3029.453358,1857.444233,40485.06042,155223.0811
Wholesale,1560.122282,3455.104207,2087.960952,1240.706893,775.7814211,755.7656611,1.00E-04,603.0028847,2286.100344,1390.228556,1.00E-04,1781.044273,1063.712568,1.00E-04,944.7377527,783.3570289,0.000100007,1.00E-04,1.00E-04,6950.500172,25678.1256
Retail,320.0123852,584.6780559,468.4360963,10.2336954,101.4795184,117.7972651,1.00E-04,25.67244642,508.8986391,272.2922154,1.00E-04,466.0981103,222.9841837,1.00E-04,1.00E-04,0.000100007,1.00E-04,1.00E-04,1.00E-04,1535.199398,4633.782809
AccomFoodServ,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,21.14524443,21.14714429
Transport&Ware,162.9234115,255.1198068,273.0042313,1.00E-04,0.000100742,17.19162816,1.00E-04,0.000100008,292.8887158,117.2276274,1.00E-04,291.9953075,88.80001756,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,932.2299796,2431.381826
Communications,465.8844294,999.5436371,702.5169576,209.745742,200.1934405,225.668639,1.00E-04,115.1493526,825.0359344,467.679663,1.00E-04,685.3244574,335.8088084,1.00E-04,0.000100058,49.30735753,1.00E-04,1.00E-04,1.00E-04,2309.432996,7591.292115
Finance&Insur,10.54018936,0.000100023,88.65537001,1.00E-04,1.00E-04,0.000100002,1.00E-04,1.00E-04,94.63495306,0.000100029,1.00E-04,130.805507,0.000100022,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,443.0143393,767.6518588
RealEstate,549.6331796,1158.666356,790.5348879,278.9181673,235.1786187,248.2903246,1.00E-04,156.7784584,866.1354952,492.3885147,1.00E-04,728.0062714,377.4684895,1.00E-04,30.67737202,100.1372252,1.00E-04,1.00E-04,1.00E-04,2583.714597,8596.528557
BusinessServ,890.6773591,2238.200101,1485.091519,718.0833669,408.6009571,486.2845865,1.00E-04,317.2958939,1566.499195,1051.637548,1.00E-04,1634.556045,723.0321022,1.00E-04,435.6104515,338.9594345,1.00E-04,1.00E-04,1.00E-04,4720.32448,17014.85364
Admin,0.000100006,1.00E-04,1.409126382,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,3.490018099,0.000100001,1.00E-04,49.42114279,0.0001,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,275.3946774,329.7165646
PublicAdminSafe,117.0068088,165.9068461,220.8344477,1.00E-04,0.000100022,0.00010007,1.00E-04,0.000100002,237.0138792,73.69054788,1.00E-04,243.701941,53.72976247,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,777.6442493,1889.529683
Education,51.60683382,57.99916221,142.2557987,1.00E-04,0.000100003,0.000100007,1.00E-04,1.00E-04,153.5958677,11.35633239,1.00E-04,176.3461723,0.000100335,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,607.1238054,1200.285273
Health&Social,0.000100023,0.000100001,39.51119231,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,43.24073404,0.000100005,1.00E-04,85.04438099,0.000100005,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,347.4844599,515.2823672
Arts&Rec,0.000100002,1.00E-04,0.000100027,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.000100026,1.00E-04,1.00E-04,21.90481679,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,191.1685862,213.075203
OtherServices,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.000100001,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,70.98291712,70.98481699
Dwellings,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,6.299980222,6.301880082
,,,,,,,,,,,,,,,,,,,,,
,13813.20305,42099.52568,20865.65823,16072.51932,5581.598616,5171.548435,5980.388588,4441.170339,23881.87315,13015.54323,8339.707217,16330.62558,8305.06624,2273.616475,14315.01566,7593.048663,8333.587065,3029.455257,1857.446133,83046.4028,304346.9997
