Employment (total) by industry
Gladstone Regional Council area, 2018/19
Industry, Number, %
"Agriculture, Forestry and Fishing", 566, 1.9
Mining, 964, 3.3
Manufacturing, 4513, 15.5
"Electricity, Gas, Water and Waste Services", 858, 3
Construction, 3251, 11.2
Wholesale Trade, 644, 2.2
Retail Trade, 2821, 9.7
Accommodation and Food Services, 2015, 6.9
"Transport, Postal and Warehousing", 2510, 8.6
Information Media and Telecommunications, 150, 0.5
Financial and Insurance Services, 301, 1
"Rental, Hiring and Real Estate Services", 594, 2
"Professional, Scientific and Technical Services", 2094, 7.2
Administrative and Support Services, 801, 2.8
Public Administration and Safety, 1302, 4.5
Education and Training, 2286, 7.9
Health Care and Social Assistance, 2165, 7.4
Arts and Recreation Services, 174, 0.6
