Divisions,AgrForestFish,Mining,Manufacturing,Utilities,Construction,Wholesale,Retail,AccomFoodServ,Transport&Ware,Communications,Finance&Insur,RealEstate,BusinessServ,Admin,PublicAdminSafe,Education,Health&Social,Arts&Rec,OtherServices,Dwellings
AgrForestFish,118.7869366,355.4511055,178.0207113,137.7585498,33.03032999,28.17169456,37.73184536,18.99585494,203.3462189,110.9247027,63.2414135,139.9425216,62.91931963,0.000100017,123.0017526,55.43524603,63.1761675,0.000100802,0.000100006,762.00929
Mining,0.000101213,659.6970915,164.4742487,53.53959156,1.00E-04,1.00E-04,1.00E-04,1.00E-04,234.9413364,0.000100009,1.00E-04,58.523396,1.00E-04,1.00E-04,11.38646696,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1817.179938
Manufacturing,3543.713424,9106.824617,5113.56714,3642.002664,1472.736964,1287.151635,1343.210987,1143.323474,5675.701601,2964.922813,1721.474004,3718.158129,2021.333235,519.3856841,3021.869665,1794.749681,1808.78324,666.7548667,420.7068478,17104.67434
Utilities,213.5496419,621.1815805,315.4097611,246.1648912,78.03969428,70.70263965,85.139481,57.10017066,358.9658301,200.8662045,124.9092075,249.9209947,124.3898265,10.95056242,220.7854166,112.5900976,124.8069702,29.10679561,0.000100363,1331.002922
Construction,6711.108324,21680.9916,10027.8428,8315.402645,2835.545716,2704.279951,3305.377247,2362.862362,11556.8891,6505.229708,4692.456833,7864.527427,4176.466005,1397.16174,7609.950873,3968.412486,4557.818279,1823.172477,1189.716277,41935.86906
Wholesale,1224.731984,3417.8813,1772.857848,1317.675823,492.9318269,454.879707,505.0044076,387.0393672,1995.87396,1119.274632,675.2578296,1387.170407,729.5711733,191.7521627,1200.789119,677.9348485,708.880374,259.7470864,152.4907925,7006.380948
Retail,241.5026119,632.8378039,325.5346092,239.4083717,74.4327232,63.82165428,74.33312708,39.08386711,374.6340873,226.3543793,123.4661361,277.4772109,150.4285942,0.000100037,227.3527534,100.3797246,128.0056379,13.00292476,0.000100011,1321.726392
AccomFoodServ,1.00E-04,0.000100004,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,21.14524437
Transport&Ware,132.1879409,372.5454619,181.6444975,136.0493474,32.83036106,23.19277522,32.38495526,11.25029802,200.4440588,107.3877665,53.68198732,134.3862117,59.58953681,0.000100006,113.7194099,46.78492858,58.49637528,0.000100029,0.000100001,734.805614
Communications,312.2387072,1024.808656,523.5985997,409.7867513,119.0018775,114.086366,119.2184729,78.22926394,774.0590661,387.815844,171.7026242,474.3122271,200.3825277,9.328908805,394.925009,168.5643742,170.9232591,30.25948065,0.00010003,2110.050151
Finance&Insur,35.86449765,131.0748468,59.83045977,43.54775834,0.000100033,0.000100023,0.000100053,0.000100012,70.07252489,31.99118901,7.700753274,44.43099365,7.541889086,1.00E-04,37.57985914,3.628464777,7.666112845,0.000100003,1.00E-04,286.7218094
RealEstate,392.2621726,1129.649782,576.3382491,451.1927117,160.7900067,148.6726781,172.5154815,126.5323067,655.0566821,370.2797939,251.8504864,457.9810784,238.8897205,56.0365421,405.3246495,218.7661312,239.616036,82.08147067,38.29982565,2424.392752
BusinessServ,700.9176685,2226.652748,1274.660722,854.7765435,277.7173006,276.9376194,294.7297947,216.7523743,1363.776156,838.2611041,411.9877842,1303.708559,479.1275723,88.99957489,768.9338055,396.4572943,417.161913,125.3289549,56.23088942,4643.735462
Admin,8.283370803,67.53259107,23.28336539,13.09684754,0.000100005,0.000100003,0.000100006,0.000100002,29.69083898,5.424147598,0.000100019,13.64940283,0.000100019,1.00E-04,9.36330792,0.000100014,0.000100019,1.00E-04,1.00E-04,159.3915924
PublicAdminSafe,94.63740677,319.6672434,180.9880015,106.1160192,6.54102764,1.650917932,10.74188826,0.000100059,213.3852589,74.14060553,22.77514415,100.0710299,37.7764226,1.00E-04,80.01536899,37.51998402,29.09502661,0.000100005,1.00E-04,574.4079371
Education,54.93707947,199.5920069,91.23075476,66.56613553,0.000100083,0.00010004,0.000100586,0.000100016,106.7451728,49.66945903,17.20215133,67.90403773,16.9862309,1.00E-04,57.52611458,11.82470137,17.15681285,0.000100003,1.00E-04,442.9439149
Health&Social,21.23519141,95.69138768,40.026648,27.26222115,0.000100012,0.000100009,0.000100015,0.000100005,48.05566527,17.94713926,0.00010012,27.95461196,0.000100114,1.00E-04,22.58383209,0.000100049,0.000100118,0.0001,1.00E-04,214.5245699
Arts&Rec,7.245687014,42.84627118,16.34951233,10.17194614,0.000100009,0.000100007,0.000100011,0.000100005,20.23529478,5.05334324,0.00010003,10.50704074,0.00010003,1.00E-04,7.907758504,0.000100022,0.00010003,0.000100001,1.00E-04,92.75724887
OtherServices,0.000100003,8.299509378,0.000100009,0.000100004,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.000100014,0.000100002,1.00E-04,0.000100004,1.00E-04,1.00E-04,0.000100003,1.00E-04,1.00E-04,1.00E-04,1.00E-04,62.68350761
Dwellings,1.00E-04,6.299980272,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
