index0,index1,index2,SHR_MED_COL
GLD,A,A,0.16708144143782724
GLD,A,B,0.000869748591376776
GLD,A,C,0.059619461147317906
GLD,A,D,0.00027248760309984797
GLD,A,E,0.001712312403906605
GLD,A,F,0.004258979683266606
GLD,A,G,0.022121841637341624
GLD,A,H,0.018147138560976706
GLD,A,I,0.0004610413570905984
GLD,A,J,0.0003278749219758702
GLD,A,K,3.351548953227393e-5
GLD,A,L,0.003364880863385744
GLD,A,M,0.00032874694389831616
GLD,A,N,0.00038394758321299476
GLD,A,O,0.0007904926249805606
GLD,A,P,0.001150395097684114
GLD,A,Q,0.0018997317185732905
GLD,A,R,0.008910228374326487
GLD,A,S,0.004026300552156394
GLD,B,A,0.003287745973161094
GLD,B,B,0.05786445706761392
GLD,B,C,0.07941731877103775
GLD,B,D,0.037603472793268714
GLD,B,E,0.01047986629401622
GLD,B,F,0.024796248124417768
GLD,B,G,0.00250298780623898
GLD,B,H,0.006331036401992908
GLD,B,I,0.005440444608036936
GLD,B,J,0.002204628434130533
GLD,B,K,0.0009384048071221073
GLD,B,L,0.002029377572597206
GLD,B,M,0.0047368712773598175
GLD,B,N,0.004834800118395207
GLD,B,O,0.0035052324955438855
GLD,B,P,0.002062806856737358
GLD,B,Q,0.0022381522560490107
GLD,B,R,0.0021632031021033885
GLD,B,S,0.003317830174600806
GLD,C,A,0.11573450644895995
GLD,C,B,0.07144404672954434
GLD,C,C,0.11702305464441737
GLD,C,D,0.044879638351066925
GLD,C,E,0.1858656640792774
GLD,C,F,0.05324773543445951
GLD,C,G,0.04542153511937089
GLD,C,H,0.1471200215449527
GLD,C,I,0.1077993174557732
GLD,C,J,0.05379720224709494
GLD,C,K,0.0068119187203026605
GLD,C,L,0.00693860673169928
GLD,C,M,0.022380178323986682
GLD,C,N,0.01923223847664834
GLD,C,O,0.040711067314248804
GLD,C,P,0.050371466481376075
GLD,C,Q,0.07247038710626276
GLD,C,R,0.12831968122280588
GLD,C,S,0.182185527533204
GLD,D,A,0.024314981044270156
GLD,D,B,0.01727191205291524
GLD,D,C,0.014772220010026498
GLD,D,D,0.2552956941018166
GLD,D,E,0.008688559257852942
GLD,D,F,0.011192478470804916
GLD,D,G,0.016037623592956036
GLD,D,H,0.022514324700390505
GLD,D,I,0.00959978142225494
GLD,D,J,0.02047807286812426
GLD,D,K,0.0033079024013091224
GLD,D,L,0.01186252742323782
GLD,D,M,0.015422322419634498
GLD,D,N,0.015064798952381808
GLD,D,O,0.025665240510569065
GLD,D,P,0.00930501541213604
GLD,D,Q,0.013826209928948528
GLD,D,R,0.014474436954708389
GLD,D,S,0.007587264587375019
GLD,E,A,0.032434064148596876
GLD,E,B,0.03936663890249878
GLD,E,C,0.004639284107999713
GLD,E,D,0.03879329279941524
GLD,E,E,0.2996095648330854
GLD,E,F,0.02453946367237223
